2025-11-07T19:49:38.225007+0530 | ERROR | core.system_utils | Command failed: which wmctrl - error: 
2025-11-07T19:50:10.394573+0530 | INFO | tasks | Registered task: organize_downloads
2025-11-07T19:50:10.398479+0530 | INFO | tasks | Registered task: open_browser_and_visit
2025-11-07T19:50:18.740527+0530 | INFO | config.config_loader | Loaded config from /home/vishnu/desktop-automation/config/config.yaml
2025-11-07T19:50:18.751037+0530 | INFO | core.gui_controller | GUIController initialized for wayland
2025-11-07T19:50:18.751311+0530 | INFO | core.vision_engine | VisionEngine initialized
2025-11-07T19:50:18.752164+0530 | INFO | tasks | Registered task: organize_downloads
2025-11-07T19:50:18.752567+0530 | INFO | tasks | Registered task: open_browser_and_visit
2025-11-07T19:50:18.752779+0530 | INFO | core.logger | {"task": "organize_downloads", "status": "started", "ts": "2025-11-07T19:50:18.752739"}
2025-11-07T19:50:18.759655+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/ANILA_KUMARI_id_card.png /home/vishnu/Downloads/Images/ANILA_KUMARI_id_card.png"}
2025-11-07T19:50:18.764569+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/utriw.jpg /home/vishnu/Downloads/Images/utriw.jpg"}
2025-11-07T19:50:18.768477+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/fdh.png /home/vishnu/Downloads/Images/fdh.png"}
2025-11-07T19:50:18.772570+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/wealthy.og_post_28_10_2025_22_16_233753482316271504602.jpg /home/vishnu/Downloads/Images/wealthy.og_post_28_10_2025_22_16_233753482316271504602.jpg"}
2025-11-07T19:50:18.783813+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/P._Sree_Ranganath_id_card.png /home/vishnu/Downloads/Images/P._Sree_Ranganath_id_card.png"}
2025-11-07T19:50:18.790043+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-12.png /home/vishnu/Downloads/Images/visual-historian-slide-12.png"}
2025-11-07T19:50:18.794074+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-18.png /home/vishnu/Downloads/Images/visual-historian-slide-18.png"}
2025-11-07T19:50:18.799705+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-9.png /home/vishnu/Downloads/Images/visual-historian-slide-9.png"}
2025-11-07T19:50:18.805116+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-4.png /home/vishnu/Downloads/Images/visual-historian-slide-4.png"}
2025-11-07T19:50:18.822863+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/1.png /home/vishnu/Downloads/Images/1.png"}
2025-11-07T19:50:18.830938+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/3.png /home/vishnu/Downloads/Images/3.png"}
2025-11-07T19:50:18.835526+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/ool.jpg /home/vishnu/Downloads/Images/ool.jpg"}
2025-11-07T19:50:18.843651+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-8.png /home/vishnu/Downloads/Images/visual-historian-slide-8.png"}
2025-11-07T19:50:18.847536+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-5.png /home/vishnu/Downloads/Images/visual-historian-slide-5.png"}
2025-11-07T19:50:18.851831+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-2.png /home/vishnu/Downloads/Images/visual-historian-2.png"}
2025-11-07T19:50:18.855862+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-19.png /home/vishnu/Downloads/Images/visual-historian-slide-19.png"}
2025-11-07T19:50:18.860056+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/thumbnail.png /home/vishnu/Downloads/Images/thumbnail.png"}
2025-11-07T19:50:18.864027+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/instagram-design-9x16-1757874601475.png /home/vishnu/Downloads/Images/instagram-design-9x16-1757874601475.png"}
2025-11-07T19:50:18.873623+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/kdfk.jpg /home/vishnu/Downloads/Images/kdfk.jpg"}
2025-11-07T19:50:18.881372+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/2.png /home/vishnu/Downloads/Images/2.png"}
2025-11-07T19:50:18.896166+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-slide-6.png /home/vishnu/Downloads/Images/visual-historian-slide-6.png"}
2025-11-07T19:50:18.905282+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/screencapture-localhost-3001-2025-09-30-12_31_22.png /home/vishnu/Downloads/Images/screencapture-localhost-3001-2025-09-30-12_31_22.png"}
2025-11-07T19:50:18.911521+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/visual-historian-1.png /home/vishnu/Downloads/Images/visual-historian-1.png"}
2025-11-07T19:50:18.916306+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/6.png /home/vishnu/Downloads/Images/6.png"}
2025-11-07T19:50:18.923123+0530 | INFO | core.logger | {"action": "system_command", "window": null, "cmd": "mv /home/vishnu/Downloads/social-media-post-1757935507557.png /home/vishnu/Downloads/Images/social-media-post-1757935507557.png"}
